matrix_id,graph,persona_set,model,bot,seed,t,topic,variance,polarization,persona_drift_mean,delta_from_t0,delta_from_prev,democrat_count,republican_count,independent_count,measured_agents,vote_support_count,vote_against_count,vote_abstain_count,graph_nodes,graph_edges,graph_density,graph_components,graph_isolates,graph_avg_degree,graph_min_degree,graph_max_degree,graph_local_edges,graph_long_range_edges,graph_avg_clustering,graph_transitivity,graph_avg_shortest_path,graph_diameter,graph_degree_assortativity,graph_modularity,graph_bridge_edge_fraction,graph_avg_betweenness,graph_avg_eigenvector,bot_degree
20260317_131451,er,personas,degroot,off,11,0,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.09000000000000001,,,0.0,,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,1,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.02306565413202318,,,-0.06693434586797684,-0.06693434586797684,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,2,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.009098373589233972,,,-0.08090162641076604,-0.013967280542789206,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,3,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.004932482823234888,,,-0.08506751717676513,-0.004165890765999084,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,4,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.002692031952802938,,,-0.08730796804719708,-0.0022404508704319506,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,5,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.0015692481245191145,,,-0.0884307518754809,-0.0011227838282838233,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,6,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.0009196755664695726,,,-0.08908032443353044,-0.0006495725580495419,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,7,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.0005516265744000651,,,-0.08944837342559994,-0.00036804899206950754,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,8,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.0003341449541959571,,,-0.08966585504580406,-0.00021748162020410801,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
20260317_131451,er,personas,degroot,off,11,9,"H.R.6938 - Appropriations Act, 2026. This bill cuts the EPA's budget by 4%, restricts the EPA from enforcing the 2015 Ozone Air Quality Standards, and expedites offshore oil and gas production to support an 'energy dominance agenda'.",0.00020539207134994748,,,-0.08979460792865006,-0.0001287528828460096,,,,,,,,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
